CityID,CityName,PlaceName,PlaceRating,DistFromCity,PlaceDesc
1,Manali, 1. Capture the Sceneries of Old Manali ,3.9, 2 km  from city center ," On the other side of the Manalsu river is a part of Manali, time left behind. With a sweet scent of an old world charm, interspersed with guesthouses and an increasing presence of tourism and hints of the present that it brings along, Old Manali is a tiny shift in the world and its rush, one must experience while here. "
1,Manali, 2. Engage in the Adventures of Solang Valley ,4.6, 8 km  from city center ," Solang Valley is one of the most popular tourist destinations in Himachal Pradesh. It is popular for adventure sports. During winters, Solang valley is covered with snow making skiing is a popular sport here. There are training institutes and trainers located to supervise skiers and train beginners.  "
1,Manali, 3. Jogini Waterfall ,4.6, 4 km  from city center , Jogini Waterfall is located about 3 kilometres away from the bustling town of Manali and around 2 kilometres away from Vashisht Temple. Tourists have to trek ahead from the temple to reach Jogini Waterfall.  
1,Manali, 4. Hadimba Temple ,4.4, 1 km  from city center ," Hadimba temple, away from the hustle and bustle of city life,  is a peaceful place surrounded by towering deodar trees. The temple is dedicated to Hidimba, the wife of Bhima, one of the five Pandava prince from the great Indian epic Mahabharata. The main attraction of the temple is the three day Hidimba Devi Festival, which attracts devotees from all over the world and features colourful folk dance performances. "
1,Manali, 5. Rohtang Pass ,4.4, 16 km  from city center ," Rohtang pass is the stretch which connects Manali to Himachal's more dreamy and dessert-like landscapes, Spiti and Lahaul. This vast snow desert is a landscape like only a few other and a view one should not miss. Popular adventure sports here are sledge ride, mountain biking, and skiing. Many blockbusters ranging from 'Jab We Met' to 'Yeh Jawani Hai Deewani' have been shot here.  "
1,Manali, 7. Sethan Valley ,4.0, 3 km  from city center ," Sethan is a quaint village in Himachal Pradesh, approximately 12 km from Manali. This Buddhist village is a tiny hamlet that oversees the Dhauladhar range. Covered in snow during winters, Sethan Valley is a great place to try out skiing and snowboarding. "
1,Manali, 10. Peek into the History of Manu Temple ,3.4, 2 km  from city center ," Manu temple is said to be the only temple of Manu in India, who is believed to be the creator of human race. This Pagoda style of structure offers quite a glimpse into history, spirituality as well as a fascinating style of architecture. "
1,Manali, 11. Bathe in the Hot Springs of Manikaran ,3.4, 28 km  from city center ," Manikaran is a small town situated between rivers Parvati and Beas, famous for its hot water springs and beautiful landscapes. The town has a famous Gurudwara called Manikaran Sahib and it is frequented by Sikhs from all over the country. "
1,Manali, 12. Paraglide in the Skies ,4.0, 2 km  from city center ," The hillside town of Manali is famous for paragliding. At 2050 metres above sea level, it is an ultimate location for the sport, with its beautiful green valleys, stark blue skies, and snow-capped mountain peaks. The picture-perfect valley boasts of ideal wind conditions for paragliding and is thronged by both international and domestic tourists. Starting with a basic training course, the operators are well organized, competent and trustworthy. 
 "
1,Manali, 15. Take a Dip in the Vashisht Baths ,3.7, 1 km  from city center ," Located inside the very famous Vashisht Temple in Manali, Vashisht Baths is a hot water spring, believed to possess medicinal values. Also known as Vashisht Springs, it is visited by a lot of tourists, many of whom take a dip in the holy water to rid themselves of skin diseases and infections. "
